lambda_align,n,best_mean,best_std,final_mean,final_std,score_mean,score_std
0.0,3.0,0.6620332901518722,0.005493461868503986,0.6613554281957711,0.0054744431695005775,0.6616943591738216,0.005462973296899301
1e-05,3.0,0.6641727417861509,0.02402669022212827,0.6435380202310156,0.0055607780819590235,0.6538553810085833,0.014682816719898161
3e-05,3.0,0.6622134092843829,0.006835393227504963,0.6548573612567165,0.0029609766202740024,0.6585353852705498,0.0019780001936956014
0.0001,3.0,0.649974152807867,0.009987630683060337,0.6358711805685401,0.010187851000714686,0.6429226666882035,0.00858689645487395
0.0003,3.0,0.6516650603416485,0.01275464867538809,0.6392990695983608,0.010068158977235956,0.6454820649700047,0.009774480228171881
0.001,3.0,0.6596768132731682,0.017063060327084666,0.6424597298356101,0.018690927137274167,0.6510682715543891,0.017865100934898175
0.003,3.0,0.6588479862502832,0.013017631349424307,0.6432082670007406,0.0050142187220055204,0.6510281266255119,0.008845815785626578
0.01,3.0,0.6648438885699465,0.004183623935307887,0.6598640038855548,0.005884976053438482,0.6623539462277507,0.003697052941992227
0.03,3.0,0.6470831919508665,0.006893051310432567,0.6406212619518284,0.010607125162990307,0.6438522269513474,0.008610385469226538
0.1,3.0,0.6618847212063687,0.003242169832258702,0.6567925675884732,0.007560430392439065,0.6593386443974208,0.005112571074488518
