method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.664773415142018,0.14188247919082642,0.14466547966003418,0.5294573903083801,0.18399478495121002
baseline,3,1000.0,0.6515412365056117,0.3046455681324005,0.0157934483140707,0.6273493766784668,0.0522117055952549
baseline,5,1000.0,0.6220644200321569,0.5148879885673523,0.28521308302879333,0.19260582327842712,0.0072931814938783646
baseline,7,1000.0,0.6875643807628095,0.374544233083725,0.16207677125930786,0.22070088982582092,0.24267806112766266
baseline,11,1000.0,0.6853106495275394,0.2717559337615967,0.29759275913238525,0.0,0.43065133690834045
cagrad,2,1000.0,0.5781103454341957,0.0,0.07569441199302673,0.21054576337337494,0.7137598395347595
cagrad,3,1000.0,0.6649097363440999,0.0,0.5138014554977417,0.05081550031900406,0.4353831112384796
cagrad,5,1000.0,0.6258985212993966,0.09281644225120544,0.23584243655204773,0.2556300163269043,0.41571101546287537
cagrad,7,1000.0,0.6737670588579419,0.221049964427948,0.4642016589641571,0.00152476760558784,0.31322360038757324
cagrad,11,1000.0,0.6792369508571143,0.26927450299263,0.0033459269907325506,0.5644636750221252,0.1629159152507782
ours,2,1000.0,0.621973034276859,0.431744247674942,0.21267488598823547,0.16551297903060913,0.19006791710853577
ours,3,1000.0,0.6713264289745785,0.21681469678878784,0.3774643838405609,0.3247164189815521,0.0810045674443245
ours,5,1000.0,0.6799848432575322,0.20307916402816772,0.2799592614173889,0.286588579416275,0.23037292063236237
ours,7,1000.0,0.6755574231543696,0.26569443941116333,0.4879762530326843,0.007320001255720854,0.23900923132896423
ours,11,1000.0,0.6761821297531955,0.35103070735931396,0.20751848816871643,0.2702954113483429,0.17115545272827148
